candidate,source,count
Clinton,All,36341
Clinton,ap.org,2585
Clinton,bloomberg.com,638
Clinton,breitbart.com,1999
Clinton,cadillacnews.com,978
Clinton,cbsnews.com,944
Clinton,chicagotribune.com,968
Clinton,cnn.com,1553
Clinton,democraticunderground.com,617
Clinton,foxnews.com,752
Clinton,freerepublic.com,1197
Clinton,gazette.com,810
Clinton,huffingtonpost.com,1279
Clinton,msnbc.com,426
Clinton,msn.com,2063
Clinton,mysanantonio.com,628
Clinton,newsmax.com,891
Clinton,patch.com,600
Clinton,reuters.com,1039
Clinton,srnnews.com,3166
Clinton,tbo.com,1101
Clinton,thehill.com,1045
Clinton,theweek.com,597
Clinton,time.com,4168
Clinton,townhall.com,796
Clinton,washingtonpost.com,1575
Clinton,washingtontimes.com,749
Clinton,wsj.com,339
Clinton,yahoo.com,2838
Trump,All,39511
Trump,ap.org,2591
Trump,bloomberg.com,869
Trump,breitbart.com,1945
Trump,cadillacnews.com,1038
Trump,cbsnews.com,938
Trump,chicagotribune.com,1173
Trump,cnn.com,2135
Trump,democraticunderground.com,802
Trump,foxnews.com,801
Trump,freerepublic.com,1003
Trump,gazette.com,975
Trump,huffingtonpost.com,1527
Trump,msnbc.com,711
Trump,msn.com,2406
Trump,mysanantonio.com,754
Trump,newsmax.com,1024
Trump,patch.com,769
Trump,reuters.com,1227
Trump,srnnews.com,3047
Trump,tbo.com,1226
Trump,thehill.com,1286
Trump,theweek.com,655
Trump,time.com,3658
Trump,townhall.com,891
Trump,washingtonpost.com,2021
Trump,washingtontimes.com,821
Trump,wsj.com,394
Trump,yahoo.com,2824
